route_code,country_code,city,poi_name,poi_type,latitude,longitude,google_place_id,rating,user_rating_count,phone,website,address,opening_hours,osm_id,source,km_from_start,notes
COMMON,TR,Edirne,Hotel Edrin,hotel,41.6739482,26.5602967,,,,,,,,node/12148301855,overpass,2120,
COMMON,TR,Edirne,WELL HOTEL,hotel,41.6721021,26.5507469,,,,,,Manyas Karakolu Sokak 12,,node/12279116401,overpass,2120,
COMMON,TR,Edirne,Edirne Osmanlı Evleri,hotel,41.6734516,26.5491857,,,,+90 (284) 212 38 38,https://edirneosmanlievleri.com/,"Arif Paşa Caddesi 54, 22020, Edirne",24/7,node/12557336134,overpass,2120,
COMMON,TR,Edirne,Edirne Öğretmenevi ve ASO,hotel,41.6922899,26.5767392,,,,,,,,node/13019260402,overpass,2120,
COMMON,TR,Edirne,Milaroom,hotel,41.6801937,26.5592648,,,,,,,,node/13339912801,overpass,2120,
COMMON,TR,Edirne,Hilly Hotel,hotel,41.6803902,26.5820473,,,,+902842144559,,"Kıyık Caddesı 254, 22030, Edirne",,way/300856036,overpass,2120,
COMMON,TR,Edirne,Mihran Hanım Konağı Butik Otel,hotel,41.6739008,26.5500495,,,,,,,,way/306232419,overpass,2120,
COMMON,TR,Edirne,Taşodalar,hotel,41.678873,26.5597257,,,,02842123529,https://www.tasodalar.com/,"Taş odalar sokak, Edirne",,way/320200203,overpass,2120,
COMMON,TR,Edirne,Hotel Edirne Palace,hotel,41.6744911,26.5572308,,,,,,,,way/744910013,overpass,2120,
COMMON,TR,Edirne,RYS Hotel,hotel,41.6661047,26.574876,,,,,,,,way/745720219,overpass,2120,
COMMON,TR,Edirne,Efe Hotel,hotel,41.6757681,26.5520217,,,,,,,,way/745835093,overpass,2120,
COMMON,TR,Edirne,Park Hotel,hotel,41.6761367,26.5521456,,,,,,,,way/746738088,overpass,2120,
COMMON,TR,Edirne,Hotel Antik,hotel,41.6763915,26.5518674,,,,,,,,way/746738090,overpass,2120,
COMMON,TR,Edirne,Hotel Balta,hotel,41.6707451,26.565525,,,,,,,,way/751543080,overpass,2120,
COMMON,TR,Edirne,Altunhan Otel,hotel,41.6752769,26.5533263,,,,,,,,way/835213212,overpass,2120,
COMMON,TR,Edirne,Kalevera Otel,hotel,41.66689,26.5751124,,,,,,,,way/836752710,overpass,2120,
COMMON,TR,Edirne,Edirne Osmanlı Evleri,hotel,41.6734493,26.5491002,,,,,,,,way/1356763208,overpass,2120,
COMMON,TR,Edirne,Avka Palace,hotel,41.6783238,26.5518362,,,,+90 284 225 15 25,,"Mehmet Paşa Hamam Sokak 6, 22100, Edirne",,way/1393097812,overpass,2120,
